SHOULDBE ,STATE,ABBR,CURRENTNAME,fips,lat,long
Autauga,Alabama,AL,Autauga County,1001,32.532237,-86.64644
Baldwin,Alabama,AL,Baldwin County,1003,30.659218,-87.746067
Barbour,Alabama,AL,Barbour County,1005,31.870253,-85.405104
Bibb,Alabama,AL,Bibb County,1007,33.015893,-87.127148
Blount,Alabama,AL,Blount County,1009,33.977358,-86.56644
Bullock,Alabama,AL,Bullock County,1011,32.101759,-85.717261
Butler,Alabama,AL,Butler County,1013,31.751667,-86.681969
Calhoun,Alabama,AL,Calhoun County,1015,33.770516,-85.827909
Chambers,Alabama,AL,Chambers County,1017,32.915504,-85.394032
Cherokee,Alabama,AL,Cherokee County,1019,34.069515,-85.654242
Chilton,Alabama,AL,Chilton County,1021,32.854051,-86.726607
Choctaw,Alabama,AL,Choctaw County,1023,31.990954,-88.248889
Clarke,Alabama,AL,Clarke County,1025,31.685521,-87.818624
Clay,Alabama,AL,Clay County,1027,33.2704,-85.863525
Cleburne,Alabama,AL,Cleburne County,1029,33.671964,-85.516126
Coffee,Alabama,AL,Coffee County,1031,31.402258,-85.989602
Colbert,Alabama,AL,Colbert County,1033,34.703112,-87.801457
Conecuh,Alabama,AL,Conecuh County,1035,31.430926,-86.988722
Coosa,Alabama,AL,Coosa County,1037,32.931445,-86.243482
Covington,Alabama,AL,Covington County,1039,31.243987,-86.448721
Crenshaw,Alabama,AL,Crenshaw County,1041,31.732826,-86.319222
Cullman,Alabama,AL,Cullman County,1043,34.131923,-86.869267
Dale,Alabama,AL,Dale County,1045,31.430654,-85.609476
Dallas,Alabama,AL,Dallas County,1047,32.33354,-87.114356
DeKalb,Alabama,AL,DeKalb County,1049,34.460929,-85.803992
Elmore,Alabama,AL,Elmore County,1051,32.597229,-86.142735
Escambia,Alabama,AL,Escambia County,1053,31.122287,-87.16841
Etowah,Alabama,AL,Etowah County,1055,34.047641,-86.034263
Fayette,Alabama,AL,Fayette County,1057,33.716157,-87.764292
Franklin,Alabama,AL,Franklin County,1059,34.441989,-87.842814
Geneva,Alabama,AL,Geneva County,1061,31.092382,-85.821022
Greene,Alabama,AL,Greene County,1063,32.844497,-87.9642
Hale,Alabama,AL,Hale County,1065,32.752796,-87.623061
Henry,Alabama,AL,Henry County,1067,31.516978,-85.239971
Houston,Alabama,AL,Houston County,1069,31.158183,-85.296411
Jackson,Alabama,AL,Jackson County,1071,34.764114,-85.980056
Jefferson,Alabama,AL,Jefferson County,1073,33.553444,-86.896536
Lamar,Alabama,AL,Lamar County,1075,33.787085,-88.087431
Lauderdale,Alabama,AL,Lauderdale County,1077,34.904122,-87.650997
Lawrence,Alabama,AL,Lawrence County,1079,34.529776,-87.321865
Lee,Alabama,AL,Lee County,1081,32.604064,-85.353048
Limestone,Alabama,AL,Limestone County,1083,34.810239,-86.981399
Lowndes,Alabama,AL,Lowndes County,1085,32.147888,-86.650586
Macon,Alabama,AL,Macon County,1087,32.387027,-85.692887
Madison,Alabama,AL,Madison County,1089,34.764238,-86.55108
Marengo,Alabama,AL,Marengo County,1091,32.247591,-87.791091
Marion,Alabama,AL,Marion County,1093,34.138219,-87.881551
Marshall,Alabama,AL,Marshall County,1095,34.309564,-86.321668
Mobile,Alabama,AL,Mobile County,1097,30.684572,-88.196568
Monroe,Alabama,AL,Monroe County,1099,31.580332,-87.383266
Montgomery,Alabama,AL,Montgomery County,1101,32.202881,-86.204461
Morgan,Alabama,AL,Morgan County,1103,34.454484,-86.846402
Perry,Alabama,AL,Perry County,1105,32.639005,-87.293827
Pickens,Alabama,AL,Pickens County,1107,33.296793,-88.096863
Pike,Alabama,AL,Pike County,1109,31.798651,-85.941604
Randolph,Alabama,AL,Randolph County,1111,33.296475,-85.464068
Russell,Alabama,AL,Russell County,1113,32.289811,-85.18698
Shelby,Alabama,AL,St. Clair County,1115,33.712963,-86.315663
St. Clair,Alabama,AL,Shelby County,1117,33.263043,-86.678089
Sumter,Alabama,AL,Sumter County,1119,32.597481,-88.200057
Talladega,Alabama,AL,Talladega County,1121,33.369314,-86.17593
Tallapoosa,Alabama,AL,Tallapoosa County,1123,32.863308,-85.799618
Tuscaloosa,Alabama,AL,Tuscaloosa County,1125,33.29022,-87.522783
Walker,Alabama,AL,Walker County,1127,33.791558,-87.301094
Washington,Alabama,AL,Washington County,1129,31.405217,-88.197564
Wilcox,Alabama,AL,Wilcox County,1131,31.990082,-87.304935
Winston,Alabama,AL,Winston County,1133,34.154566,-87.365346
Aleutians East Borough,Alaska,AK,Aleutians East Borough,2013,55.245044,-161.997477
Aleutians West Census Area,Alaska,AK,Aleutians West Census Area,2016,51.948964,179.621188
Anchorage,Alaska,AK,Anchorage Municipality,2020,61.17425,-149.284329
Bethel Census Area,Alaska,AK,Bethel Census Area,2050,60.929141,-160.152625
Bristol Bay Borough,Alaska,AK,Bristol Bay Borough,2060,58.741647,-156.966909
Denali Borough,Alaska,AK,Denali Borough,2068,63.682039,-150.027016
Dillingham Census Area,Alaska,AK,Dillingham Census Area,2070,59.543326,-158.267123
Fairbanks North Star Borough,Alaska,AK,Fairbanks North Star Borough,2090,64.676044,-146.548159
Haines Borough,Alaska,AK,Haines Borough,2100,59.098404,-135.575791
Juneau City and Borough,Alaska,AK,Hoonah-Angoon Census Area,2105,58.253462,-136.320731
Kenai Peninsula Borough,Alaska,AK,Juneau City and Borough,2110,58.37291,-134.178445
Ketchikan Gateway Borough,Alaska,AK,Kenai Peninsula Borough,2122,60.360766,-152.05264
Kodiak Island Borough,Alaska,AK,Ketchikan Gateway Borough,2130,55.449938,-131.106685
Kusilvak Census Area,Alaska,AK,Kodiak Island Borough,2150,57.7044,-153.918372
Lake and Peninsula Borough,Alaska,AK,Kusilvak Census Area,2158,62.283588,-163.190171
Matanuska-Susitna Borough,Alaska,AK,Lake and Peninsula Borough,2164,58.108507,-156.413413
Nome Census Area,Alaska,AK,Matanuska-Susitna Borough,2170,62.279094,-149.619094
North Slope Borough,Alaska,AK,Nome Census Area,2180,64.783686,-164.188912
Northwest Arctic Borough,Alaska,AK,North Slope Borough,2185,69.449343,-153.47283
Petersburg Borough,Alaska,AK,Northwest Arctic Borough,2188,67.005066,-160.021086
Prince of Wales-Hyder Census Area,Alaska,AK,Petersburg Borough,2195,57.112458,-133.008598
Sitka City and Borough,Alaska,AK,Prince of Wales-Hyder Census Area,2198,55.682773,-133.162389
Southeast Fairbanks Census Area,Alaska,AK,Sitka City and Borough,2220,57.193204,-135.367396
Unknown,Alaska,AK,Skagway Municipality,2230,59.560379,-135.338279
Valdez-Cordova Census Area,Alaska,AK,Southeast Fairbanks Census Area,2240,63.864997,-143.218628
Wrangell City and Borough,Alaska,AK,Valdez-Cordova Census Area,2261,61.349843,-145.023109
Yukon-Koyukuk Census Area,Alaska,AK,Wrangell City and Borough,2275,56.317416,-132.343978
Apache,Arizona,AK,Yakutat City and Borough,2282,60.017453,-140.416942
Cochise,Arizona,AK,Yukon-Koyukuk Census Area,2290,65.375727,-151.57785
Coconino,Arizona,AZ,Apache County,4001,35.385084,-109.490172
Gila,Arizona,AZ,Cochise County,4003,31.840129,-109.775163
Graham,Arizona,AZ,Coconino County,4005,35.829692,-111.773728
Greenlee,Arizona,AZ,Gila County,4007,33.789618,-110.81187
La Paz,Arizona,AZ,Graham County,4009,32.931828,-109.87831
Maricopa,Arizona,AZ,Greenlee County,4011,33.238872,-109.242323
Mohave,Arizona,AZ,La Paz County,4012,33.72761,-114.038806
Navajo,Arizona,AZ,Maricopa County,4013,33.345176,-112.49893
Pima,Arizona,AZ,Mohave County,4015,35.717705,-113.749689
Pinal,Arizona,AZ,Navajo County,4017,35.390785,-110.321025
Santa Cruz,Arizona,AZ,Pima County,4019,32.128043,-111.783657
Yavapai,Arizona,AZ,Pinal County,4021,32.918521,-111.36634
Yuma,Arizona,AZ,Santa Cruz County,4023,31.525733,-110.845228
Arkansas,Arkansas,AZ,Yavapai County,4025,34.631071,-112.577225
Ashley,Arkansas,AZ,Yuma County,4027,32.773942,-113.910905
Baxter,Arkansas,AR,Arkansas County,5001,34.28957,-91.376547
Benton,Arkansas,AR,Ashley County,5003,33.190835,-91.772267
Boone,Arkansas,AR,Baxter County,5005,36.280268,-92.329949
Bradley,Arkansas,AR,Benton County,5007,36.337819,-94.256298
Calhoun,Arkansas,AR,Boone County,5009,36.304299,-93.079236
Carroll,Arkansas,AR,Bradley County,5011,33.466549,-92.169156
Chicot,Arkansas,AR,Calhoun County,5013,33.56046,-92.513879
Clark,Arkansas,AR,Carroll County,5015,36.33737,-93.540972
Clay,Arkansas,AR,Chicot County,5017,33.267139,-91.297158
Cleburne,Arkansas,AR,Clark County,5019,34.053316,-93.176208
Cleveland,Arkansas,AR,Clay County,5021,36.367302,-90.418704
Columbia,Arkansas,AR,Cleburne County,5023,35.566315,-92.05995
Conway,Arkansas,AR,Cleveland County,5025,33.893201,-92.188714
Craighead,Arkansas,AR,Columbia County,5027,33.223038,-93.232843
Crawford,Arkansas,AR,Conway County,5029,35.265702,-92.689248
Crittenden,Arkansas,AR,Craighead County,5031,35.827729,-90.631421
Cross,Arkansas,AR,Crawford County,5033,35.583011,-94.236219
Dallas,Arkansas,AR,Crittenden County,5035,35.211879,-90.315332
Desha,Arkansas,AR,Cross County,5037,35.285692,-90.763984
Drew,Arkansas,AR,Dallas County,5039,33.967823,-92.653999
Faulkner,Arkansas,AR,Desha County,5041,33.828752,-91.244103
Franklin,Arkansas,AR,Drew County,5043,33.587242,-91.722778
Fulton,Arkansas,AR,Faulkner County,5045,35.146548,-92.336928
Garland,Arkansas,AR,Franklin County,5047,35.508558,-93.887665
Grant,Arkansas,AR,Fulton County,5049,36.383619,-91.819664
Greene,Arkansas,AR,Garland County,5051,34.578852,-93.146932
Hempstead,Arkansas,AR,Grant County,5053,34.285568,-92.422979
Hot Spring,Arkansas,AR,Greene County,5055,36.120607,-90.566346
Howard,Arkansas,AR,Hempstead County,5057,33.735953,-93.664355
Independence,Arkansas,AR,Hot Spring County,5059,34.315177,-92.944147
Izard,Arkansas,AR,Howard County,5061,34.083064,-93.990931
Jackson,Arkansas,AR,Independence County,5063,35.737499,-91.559942
Jefferson,Arkansas,AR,Izard County,5065,36.094879,-91.913625
Johnson,Arkansas,AR,Jackson County,5067,35.596467,-91.223205
Lafayette,Arkansas,AR,Jefferson County,5069,34.277239,-91.929673
Lawrence,Arkansas,AR,Johnson County,5071,35.573359,-93.466322
Lee,Arkansas,AR,Lafayette County,5073,33.240629,-93.611514
Lincoln,Arkansas,AR,Lawrence County,5075,36.041098,-91.101153
Little River,Arkansas,AR,Lee County,5077,34.779505,-90.779717
Logan,Arkansas,AR,Lincoln County,5079,33.957675,-91.727626
Lonoke,Arkansas,AR,Little River County,5081,33.699497,-94.229774
Madison,Arkansas,AR,Logan County,5083,35.218654,-93.72091
Marion,Arkansas,AR,Lonoke County,5085,34.755114,-91.894132
Miller,Arkansas,AR,Madison County,5087,36.012545,-93.724053
Mississippi,Arkansas,AR,Marion County,5089,36.266664,-92.678577
Monroe,Arkansas,AR,Miller County,5091,33.305505,-93.901502
Montgomery,Arkansas,AR,Mississippi County,5093,35.766944,-90.052207
Nevada,Arkansas,AR,Monroe County,5095,34.679512,-91.20331
Newton,Arkansas,AR,Montgomery County,5097,34.545656,-93.664153
Ouachita,Arkansas,AR,Nevada County,5099,33.666699,-93.305072
Perry,Arkansas,AR,Newton County,5101,35.910742,-93.215898
Phillips,Arkansas,AR,Ouachita County,5103,33.591168,-92.878413
Pike,Arkansas,AR,Perry County,5105,34.946363,-92.926877
Poinsett,Arkansas,AR,Phillips County,5107,34.423687,-90.855593
Polk,Arkansas,AR,Pike County,5109,34.158191,-93.658659
Pope,Arkansas,AR,Poinsett County,5111,35.56887,-90.681104
Prairie,Arkansas,AR,Polk County,5113,34.490915,-94.230884
Pulaski,Arkansas,AR,Pope County,5115,35.456557,-93.026818
Randolph,Arkansas,AR,Prairie County,5117,34.831116,-91.55362
Saline,Arkansas,AR,Pulaski County,5119,34.770311,-92.312996
Scott,Arkansas,AR,Randolph County,5121,36.341298,-91.028441
Searcy,Arkansas,AR,St. Francis County,5123,35.022838,-90.751505
Sebastian,Arkansas,AR,Saline County,5125,34.648525,-92.674463
Sevier,Arkansas,AR,Scott County,5127,34.858869,-94.063641
Sharp,Arkansas,AR,Searcy County,5129,35.896387,-92.695888
St. Francis,Arkansas,AR,Sebastian County,5131,35.196981,-94.274989
Stone,Arkansas,AR,Sevier County,5133,33.994877,-94.243279
Union,Arkansas,AR,Sharp County,5135,36.173399,-91.471069
Unknown,Arkansas,AR,Stone County,5137,35.857001,-92.140482
Van Buren,Arkansas,AR,Union County,5139,33.168219,-92.598145
Washington,Arkansas,AR,Van Buren County,5141,35.582953,-92.515976
White,Arkansas,AR,Washington County,5143,35.978001,-94.217269
Woodruff,Arkansas,AR,White County,5145,35.255118,-91.753034
Yell,Arkansas,AR,Woodruff County,5147,35.192777,-91.244535
Alameda,California,AR,Yell County,5149,34.997713,-93.408303
Alpine,California,CA,Alameda County,6001,37.647139,-121.912488
Amador,California,CA,Alpine County,6003,38.621783,-119.798352
Butte,California,CA,Amador County,6005,38.44355,-120.653856
Calaveras,California,CA,Butte County,6007,39.665959,-121.601919
Colusa,California,CA,Calaveras County,6009,38.1839,-120.561441
Contra Costa,California,CA,Colusa County,6011,39.177739,-122.237563
Del Norte,California,CA,Contra Costa County,6013,37.919479,-121.951543
El Dorado,California,CA,Del Norte County,6015,41.763958,-124.003614
Fresno,California,CA,El Dorado County,6017,38.785612,-120.534225
Glenn,California,CA,Fresno County,6019,36.761006,-119.655019
Humboldt,California,CA,Glenn County,6021,39.602546,-122.4017
Imperial,California,CA,Humboldt County,6023,40.706655,-123.926176
Inyo,California,CA,Imperial County,6025,33.040814,-115.3554
Kern,California,CA,Inyo County,6027,36.561977,-117.403927
Kings,California,CA,Kern County,6029,35.346629,-118.729506
Lake,California,CA,Kings County,6031,36.072478,-119.81553
Lassen,California,CA,Lake County,6033,39.094802,-122.746757
Los Angeles,California,CA,Lassen County,6035,40.721086,-120.629952
Madera,California,CA,Los Angeles County,6037,34.196398,-118.261862
Marin,California,CA,Madera County,6039,37.209821,-119.749802
Mariposa,California,CA,Marin County,6041,38.051817,-122.745974
Mendocino,California,CA,Mariposa County,6043,37.57003,-119.912861
Merced,California,CA,Mendocino County,6045,39.432388,-123.442881
Modoc,California,CA,Merced County,6047,37.194806,-120.722802
Mono,California,CA,Modoc County,6049,41.592918,-120.71837
Monterey,California,CA,Mono County,6051,37.915836,-118.875167
Napa,California,CA,Monterey County,6053,36.240107,-121.315572
Nevada,California,CA,Napa County,6055,38.5071,-122.325904
Orange,California,CA,Nevada County,6057,39.297508,-120.771343
Placer,California,CA,Orange County,6059,33.675687,-117.777207
Plumas,California,CA,Placer County,6061,39.062032,-120.722718
Riverside,California,CA,Plumas County,6063,39.992295,-120.824371
Sacramento,California,CA,Riverside County,6065,33.729828,-116.002239
San Benito,California,CA,Sacramento County,6067,38.450016,-121.340441
San Bernardino,California,CA,San Benito County,6069,36.611651,-121.085811
San Diego,California,CA,San Bernardino County,6071,34.85722,-116.181197
San Francisco,California,CA,San Diego County,6073,33.023604,-116.776117
San Joaquin,California,CA,San Francisco County,6075,37.727239,-123.032229
San Luis Obispo,California,CA,San Joaquin County,6077,37.934982,-121.272244
San Mateo,California,CA,San Luis Obispo County,6079,35.385224,-120.447544
Santa Barbara,California,CA,San Mateo County,6081,37.414672,-122.371546
Santa Clara,California,CA,Santa Barbara County,6083,34.537057,-120.039973
Santa Cruz,California,CA,Santa Clara County,6085,37.220695,-121.69051
Shasta,California,CA,Santa Cruz County,6087,37.012488,-122.007205
Sierra,California,CA,Shasta County,6089,40.760514,-122.043556
Siskiyou,California,CA,Sierra County,6091,39.576925,-120.521993
Solano,California,CA,Siskiyou County,6093,41.587986,-122.533287
Sonoma,California,CA,Solano County,6095,38.267226,-121.939594
Stanislaus,California,CA,Sonoma County,6097,38.525182,-122.92611
Sutter,California,CA,Stanislaus County,6099,37.562316,-121.002831
Tehama,California,CA,Sutter County,6101,39.03619,-121.70394
Trinity,California,CA,Tehama County,6103,40.126157,-122.232274
Tulare,California,CA,Trinity County,6105,40.647803,-123.114476
Tuolumne,California,CA,Tulare County,6107,36.228834,-118.781055
Ventura,California,CA,Tuolumne County,6109,38.021434,-119.964733
Yolo,California,CA,Ventura County,6111,34.358741,-119.133143
Yuba,California,CA,Yolo County,6113,38.679596,-121.902441
Adams,Colorado,CA,Yuba County,6115,39.27013,-121.344259
Alamosa,Colorado,CO,Adams County,8001,39.874325,-104.331872
Arapahoe,Colorado,CO,Alamosa County,8003,37.568442,-105.788041
Archuleta,Colorado,CO,Arapahoe County,8005,39.644554,-104.331706
Baca,Colorado,CO,Archuleta County,8007,37.202395,-107.050863
Bent,Colorado,CO,Baca County,8009,37.30978,-102.543741
Boulder,Colorado,CO,Bent County,8011,37.931891,-103.077584
Broomfield,Colorado,CO,Boulder County,8013,40.09497,-105.397691
Chaffee,Colorado,CO,Broomfield County,8014,39.953593,-105.050787
Cheyenne,Colorado,CO,Chaffee County,8015,38.738223,-106.316683
Clear Creek,Colorado,CO,Cheyenne County,8017,38.835646,-102.601791
Conejos,Colorado,CO,Clear Creek County,8019,39.669732,-105.69257
Costilla,Colorado,CO,Conejos County,8021,37.213406,-106.176447
Crowley,Colorado,CO,Costilla County,8023,37.277547,-105.42894
Custer,Colorado,CO,Crowley County,8025,38.30618,-103.772736
Delta,Colorado,CO,Custer County,8027,38.101996,-105.373512
Denver,Colorado,CO,Delta County,8029,38.861595,-107.864892
Dolores,Colorado,CO,Denver County,8031,39.76185,-104.881105
Douglas,Colorado,CO,Dolores County,8033,37.711723,-108.524116
Eagle,Colorado,CO,Douglas County,8035,39.325414,-104.925987
Elbert,Colorado,CO,Eagle County,8037,39.626992,-106.695169
El Paso,Colorado,CO,Elbert County,8039,39.315157,-104.114076
Fremont,Colorado,CO,El Paso County,8041,38.827383,-104.527472
Garfield,Colorado,CO,Fremont County,8043,38.45517,-105.424958
Gilpin,Colorado,CO,Garfield County,8045,39.599352,-107.90978
Grand,Colorado,CO,Gilpin County,8047,39.861156,-105.528878
Gunnison,Colorado,CO,Grand County,8049,40.113065,-106.110837
Hinsdale,Colorado,CO,Gunnison County,8051,38.670499,-107.05688
Huerfano,Colorado,CO,Hinsdale County,8053,37.821165,-107.338261
Jackson,Colorado,CO,Huerfano County,8055,37.687815,-104.959928
Jefferson,Colorado,CO,Jackson County,8057,40.663432,-106.329248
Kit Carson,Colorado,CO,Jefferson County,8059,39.579511,-105.245462
Lake,Colorado,CO,Kiowa County,8061,38.387663,-102.756849
La Plata,Colorado,CO,Kit Carson County,8063,39.30534,-102.603023
Larimer,Colorado,CO,Lake County,8065,39.205341,-106.350079
Las Animas,Colorado,CO,La Plata County,8067,37.287367,-107.839718
Lincoln,Colorado,CO,Larimer County,8069,40.658093,-105.486764
Logan,Colorado,CO,Las Animas County,8071,37.318831,-104.04411
Mesa,Colorado,CO,Lincoln County,8073,38.99374,-103.507555
Mineral,Colorado,CO,Logan County,8075,40.728091,-103.090464
Moffat,Colorado,CO,Mesa County,8077,39.019524,-108.460571
Montezuma,Colorado,CO,Mineral County,8079,37.549067,-107.003236
Montrose,Colorado,CO,Moffat County,8081,40.610864,-108.217154
Morgan,Colorado,CO,Montezuma County,8083,37.338025,-108.595786
Otero,Colorado,CO,Montrose County,8085,38.407507,-108.266282
Ouray,Colorado,CO,Morgan County,8087,40.263159,-103.81221
Park,Colorado,CO,Otero County,8089,37.88417,-103.72126
Phillips,Colorado,CO,Ouray County,8091,38.154731,-107.78848
Pitkin,Colorado,CO,Park County,8093,39.118914,-105.717648
Prowers,Colorado,CO,Phillips County,8095,40.594712,-102.345105
Pueblo,Colorado,CO,Pitkin County,8097,39.217538,-106.916159
Rio Blanco,Colorado,CO,Prowers County,8099,37.958181,-102.392161
Rio Grande,Colorado,CO,Pueblo County,8101,38.170658,-104.489892
Routt,Colorado,CO,Rio Blanco County,8103,39.972622,-108.200716
Saguache,Colorado,CO,Rio Grande County,8105,37.485853,-106.453128
San Juan,Colorado,CO,Routt County,8107,40.483664,-106.987702
San Miguel,Colorado,CO,Saguache County,8109,38.031651,-106.234666
Sedgwick,Colorado,CO,San Juan County,8111,37.781049,-107.670257
Summit,Colorado,CO,San Miguel County,8113,38.009319,-108.427263
Teller,Colorado,CO,Sedgwick County,8115,40.871568,-102.355358
Washington,Colorado,CO,Summit County,8117,39.621023,-106.137555
Weld,Colorado,CO,Teller County,8119,38.869976,-105.187365
Yuma,Colorado,CO,Washington County,8121,39.96579,-103.209744
Fairfield,Connecticut,CO,Weld County,8123,40.555961,-104.383666
Hartford,Connecticut,CO,Yuma County,8125,40.00077,-102.421649
Litchfield,Connecticut,CT,Fairfield County,9001,41.227413,-73.367061
Middlesex,Connecticut,CT,Hartford County,9003,41.806053,-72.732916
New Haven,Connecticut,CT,Litchfield County,9005,41.791883,-73.235404
New London,Connecticut,CT,Middlesex County,9007,41.433003,-72.52278
Tolland,Connecticut,CT,New Haven County,9009,41.349718,-72.900203
Unknown,Connecticut,CT,New London County,9011,41.472652,-72.108634
Windham,Connecticut,CT,Tolland County,9013,41.858081,-72.340978
Kent,Delaware,CT,Windham County,9015,41.824999,-71.990702
New Castle,Delaware,DE,Kent County,10001,39.097088,-75.502982
Sussex,Delaware,DE,New Castle County,10003,39.575915,-75.644132
Unknown,Delaware,DE,Sussex County,10005,38.673227,-75.337024
District of Columbia,District of Columbia,DC,District of Columbia,11001,38.904247,-77.016517
Alachua,Florida,FL,Alachua County,12001,29.67574,-82.357221
Baker,Florida,FL,Baker County,12003,30.324442,-82.302284
Bay,Florida,FL,Bay County,12005,30.238218,-85.63168
Bradford,Florida,FL,Bradford County,12007,29.952386,-82.166679
Brevard,Florida,FL,Brevard County,12009,28.298311,-80.700333
Broward,Florida,FL,Broward County,12011,26.193535,-80.476683
Calhoun,Florida,FL,Calhoun County,12013,30.388801,-85.197915
Charlotte,Florida,FL,Charlotte County,12015,26.868974,-81.941278
Citrus,Florida,FL,Citrus County,12017,28.84364,-82.52481
Clay,Florida,FL,Clay County,12019,29.986584,-81.865036
Collier,Florida,FL,Collier County,12021,26.118786,-81.400955
Columbia,Florida,FL,Columbia County,12023,30.221651,-82.623371
DeSoto,Florida,FL,DeSoto County,12027,27.190581,-81.806253
Dixie,Florida,FL,Dixie County,12029,29.580899,-83.195666
Duval,Florida,FL,Duval County,12031,30.335245,-81.648113
Escambia,Florida,FL,Escambia County,12033,30.611638,-87.3389
Flagler,Florida,FL,Flagler County,12035,29.474891,-81.286253
Franklin,Florida,FL,Franklin County,12037,29.810176,-84.799174
Gadsden,Florida,FL,Gadsden County,12039,30.578687,-84.612607
Gilchrist,Florida,FL,Gilchrist County,12041,29.723456,-82.795801
Glades,Florida,FL,Glades County,12043,26.95481,-81.19082
Gulf,Florida,FL,Gulf County,12045,29.907257,-85.256537
Hamilton,Florida,FL,Hamilton County,12047,30.491187,-82.951071
Hardee,Florida,FL,Hardee County,12049,27.492846,-81.82158
Hendry,Florida,FL,Hendry County,12051,26.539967,-81.152114
Hernando,Florida,FL,Hernando County,12053,28.573043,-82.466227
Highlands,Florida,FL,Highlands County,12055,27.34108,-81.342353
Hillsborough,Florida,FL,Hillsborough County,12057,27.906607,-82.349719
Holmes,Florida,FL,Holmes County,12059,30.862007,-85.815939
Indian River,Florida,FL,Indian River County,12061,27.700528,-80.574789
Jackson,Florida,FL,Jackson County,12063,30.789249,-85.208814
Jefferson,Florida,FL,Jefferson County,12065,30.424558,-83.890859
Lafayette,Florida,FL,Lafayette County,12067,29.990066,-83.17851
Lake,Florida,FL,Lake County,12069,28.764113,-81.712282
Lee,Florida,FL,Lee County,12071,26.559035,-81.891994
Leon,Florida,FL,Leon County,12073,30.45931,-84.2778
Levy,Florida,FL,Levy County,12075,29.284457,-82.783462
Liberty,Florida,FL,Liberty County,12077,30.259849,-84.86858
Madison,Florida,FL,Madison County,12079,30.447233,-83.470416
Manatee,Florida,FL,Manatee County,12081,27.481682,-82.368767
Marion,Florida,FL,Marion County,12083,29.202805,-82.0431
Martin,Florida,FL,Martin County,12085,27.083604,-80.398201
Miami-Dade,Florida,FL,Miami-Dade County,12086,25.61058,-80.497099
Monroe,Florida,FL,Monroe County,12087,24.768883,-80.95327
Nassau,Florida,FL,Nassau County,12089,30.605963,-81.765087
Okaloosa,Florida,FL,Okaloosa County,12091,30.665851,-86.594187
Okeechobee,Florida,FL,Okeechobee County,12093,27.385592,-80.887388
Orange,Florida,FL,Orange County,12095,28.514391,-81.323284
Osceola,Florida,FL,Osceola County,12097,28.059027,-81.139312
Palm Beach,Florida,FL,Palm Beach County,12099,26.649126,-80.448354
Pasco,Florida,FL,Pasco County,12101,28.307711,-82.464832
Pinellas,Florida,FL,Pinellas County,12103,27.903108,-82.739519
Polk,Florida,FL,Polk County,12105,27.953649,-81.693534
Putnam,Florida,FL,Putnam County,12107,29.593896,-81.732039
Santa Rosa,Florida,FL,St. Johns County,12109,29.890487,-81.40004
Sarasota,Florida,FL,St. Lucie County,12111,27.379814,-80.443536
Seminole,Florida,FL,Santa Rosa County,12113,30.701269,-87.01289
St. Johns,Florida,FL,Sarasota County,12115,27.184386,-82.365835
St. Lucie,Florida,FL,Seminole County,12117,28.690092,-81.131989
Sumter,Florida,FL,Sumter County,12119,28.714101,-82.074347
Suwannee,Florida,FL,Suwannee County,12121,30.189244,-82.992754
Taylor,Florida,FL,Taylor County,12123,30.009908,-83.609483
Union,Florida,FL,Union County,12125,30.05428,-82.366918
Unknown,Florida,FL,Volusia County,12127,29.057769,-81.161792
Volusia,Florida,FL,Wakulla County,12129,30.139432,-84.374846
Wakulla,Florida,FL,Walton County,12131,30.631211,-86.176614
Walton,Florida,FL,Washington County,12133,30.602217,-85.662797
Washington,Florida,GA,Appling County,13001,31.739712,-82.290103
Appling,Georgia,GA,Atkinson County,13003,31.296806,-82.878151
Atkinson,Georgia,GA,Bacon County,13005,31.55021,-82.451433
Bacon,Georgia,GA,Baker County,13007,31.31958,-84.454881
Baker,Georgia,GA,Baldwin County,13009,33.05949,-83.255457
Baldwin,Georgia,GA,Banks County,13011,34.351922,-83.498441
Banks,Georgia,GA,Barrow County,13013,33.992009,-83.712303
Barrow,Georgia,GA,Bartow County,13015,34.240917,-84.838188
Bartow,Georgia,GA,Ben Hill County,13017,31.740772,-83.147197
Ben Hill,Georgia,GA,Berrien County,13019,31.288652,-83.22787
Berrien,Georgia,GA,Bibb County,13021,32.808845,-83.694194
Bibb,Georgia,GA,Bleckley County,13023,32.435403,-83.331717
Bleckley,Georgia,GA,Brantley County,13025,31.197334,-81.982978
Brantley,Georgia,GA,Brooks County,13027,30.822934,-83.581905
Brooks,Georgia,GA,Bryan County,13029,32.017969,-81.438543
Bryan,Georgia,GA,Bulloch County,13031,32.391711,-81.744021
Bulloch,Georgia,GA,Burke County,13033,33.060181,-82.000164
Burke,Georgia,GA,Butts County,13035,33.290355,-83.958221
Butts,Georgia,GA,Calhoun County,13037,31.521279,-84.62629
Calhoun,Georgia,GA,Camden County,13039,30.913358,-81.642019
Camden,Georgia,GA,Candler County,13043,32.40395,-82.071266
Candler,Georgia,GA,Carroll County,13045,33.582237,-85.080527
Carroll,Georgia,GA,Catoosa County,13047,34.900218,-85.139386
Catoosa,Georgia,GA,Charlton County,13049,30.779904,-82.139644
Charlton,Georgia,GA,Chatham County,13051,31.980404,-81.085184
Chatham,Georgia,GA,Chattahoochee County,13053,32.347445,-84.788021
Chattahoochee,Georgia,GA,Chattooga County,13055,34.474178,-85.345289
